#Time, x, y, z
14.5908,135,125,-13.9637767529
14.6286,135,125,-13.9649666366
14.6664,135,125,-13.9661595571
14.7042,135,125,-13.9673553405
14.742,135,125,-13.9685537978
14.7798,135,125,-13.9697547363
14.8176,135,125,-13.9709579857
14.8554,135,125,-13.9721633595
14.8932,135,125,-13.9733706423
14.931,135,125,-13.97457963
14.9688,135,125,-13.9757901339
15.0066,135,125,-13.9770019586
15.0444,135,125,-13.9782149091
15.0822,135,125,-13.979428795
15.12,135,125,-13.9806434228
15.1578,135,125,-13.9818585941
15.1956,135,125,-13.9830741077
15.2334,135,125,-13.9842897696
15.2712,135,125,-13.9855053913
15.309,135,125,-13.9867207755
15.3468,135,125,-13.9879357149
15.3846,135,125,-13.989150006
15.4224,135,125,-13.9903634529
15.4602,135,125,-13.9915758576
15.498,135,125,-13.9927870144
15.5358,135,125,-13.9939967191
15.5736,135,125,-13.9952047699
15.6114,135,125,-13.9964109656
15.6492,135,125,-13.997615113
15.687,135,125,-13.9988170295
15.7248,135,125,-14.000016516
15.7626,135,125,-14.0012133488
15.8004,135,125,-14.0024073298
15.8382,135,125,-14.0035982702
15.876,135,125,-14.004785961
15.9138,135,125,-14.0059702007
15.9516,135,125,-14.0071507923
15.9894,135,125,-14.0083275335
16.0272,135,125,-14.0095002223
16.065,135,125,-14.0106686532
16.1028,135,125,-14.0118326003
16.1406,135,125,-14.0129918549
16.1784,135,125,-14.0141462533
16.2162,135,125,-14.0152956339
16.254,135,125,-14.0164397808
16.2918,135,125,-14.0175784328
16.3296,135,125,-14.0187114079
16.3674,135,125,-14.0198385693
16.4052,135,125,-14.0209597252
16.443,135,125,-14.0220746695
16.4808,135,125,-14.0231831967
16.5186,135,125,-14.0242851174
16.5564,135,125,-14.0253802595
16.5942,135,125,-14.0264684413
16.632,135,125,-14.0275494794
16.6698,135,125,-14.0286231864
16.7076,135,125,-14.0296893735
16.7454,135,125,-14.0307478551
16.7832,135,125,-14.0317984594
16.821,135,125,-14.0328410333
16.8588,135,125,-14.0338754106
16.8966,135,125,-14.0349013994
16.9344,135,125,-14.0359188271
16.9722,135,125,-14.0369275366
17.01,135,125,-14.0379273552
17.0478,135,125,-14.0389181176
17.0856,135,125,-14.0398996648
17.1234,135,125,-14.0408718337
17.1612,135,125,-14.0418344634
17.199,135,125,-14.0427873943
17.2368,135,125,-14.0437304693
17.2746,135,125,-14.0446635408
17.3124,135,125,-14.045586466
17.3502,135,125,-14.0464990987
17.388,135,125,-14.0474012928
17.4258,135,125,-14.0482929074
17.4636,135,125,-14.0491738053
17.5014,135,125,-14.0500438512
17.5392,135,125,-14.0509029141
17.577,135,125,-14.0517508652
17.6148,135,125,-14.0525875768
17.6526,135,125,-14.0534129233
17.6904,135,125,-14.0542267824
17.7282,135,125,-14.0550290341
17.766,135,125,-14.0558195601
17.8038,135,125,-14.0565982451
17.8416,135,125,-14.0573649764
17.8794,135,125,-14.0581196456
17.9172,135,125,-14.0588621501
17.955,135,125,-14.0595924012
17.9928,135,125,-14.0603103025
18.0306,135,125,-14.0610157358
18.0684,135,125,-14.0617086056
18.1062,135,125,-14.06238883
18.144,135,125,-14.0630562796
18.1818,135,125,-14.0637108301
18.2196,135,125,-14.0643524234
18.2574,135,125,-14.0649810036
18.2952,135,125,-14.065596489
18.333,135,125,-14.0661987673
18.3708,135,125,-14.066787731
18.4086,135,125,-14.0673633346
18.4464,135,125,-14.0679255384
18.4842,135,125,-14.0684742785
18.522,135,125,-14.0690094922
18.5598,135,125,-14.0695311134
18.5976,135,125,-14.0700390718
18.6354,135,125,-14.0705333125
18.6732,135,125,-14.0710137921
18.711,135,125,-14.0714804626
18.7488,135,125,-14.0719332731
18.7866,135,125,-14.0723721756
18.8244,135,125,-14.0727971249
18.8622,135,125,-14.0732080784
18.9,135,125,-14.0736049968
18.9378,135,125,-14.0739878484
18.9756,135,125,-14.0743566027
19.0134,135,125,-14.0747112235
19.0512,135,125,-14.0750516769
19.089,135,125,-14.0753779357
19.1268,135,125,-14.0756899868
19.1646,135,125,-14.0759878118
19.2024,135,125,-14.0762713712
19.2402,135,125,-14.0765406459
19.278,135,125,-14.076795629
19.3158,135,125,-14.0770362968
19.3536,135,125,-14.0772626305
19.3914,135,125,-14.0774746152
19.4292,135,125,-14.077672237
19.467,135,125,-14.0778554894
19.5048,135,125,-14.078024367
19.5426,135,125,-14.0781788616
19.5804,135,125,-14.0783189677
19.6182,135,125,-14.0784446868
19.656,135,125,-14.0785560222
19.6938,135,125,-14.0786529796
19.7316,135,125,-14.0787355684
19.7694,135,125,-14.0788037979
19.8072,135,125,-14.0788576785
19.845,135,125,-14.0788972249
19.8828,135,125,-14.0789224575
19.9206,135,125,-14.0789333996
19.9584,135,125,-14.0789300708
19.9962,135,125,-14.0789124896
20.034,135,125,-14.0788806796
20.0718,135,125,-14.07883467
20.1096,135,125,-14.0787744903
20.1474,135,125,-14.0787001671
20.1852,135,125,-14.078611728
20.223,135,125,-14.0785092061
20.2608,135,125,-14.078392648
20.2986,135,125,-14.0782620966
20.3364,135,125,-14.0781175748
20.3742,135,125,-14.0779591159
20.412,135,125,-14.0777867672
20.4498,135,125,-14.0776005656
20.4876,135,125,-14.0774005469
20.5254,135,125,-14.0771867508
20.5632,135,125,-14.0769592187
20.601,135,125,-14.0767179989
20.6388,135,125,-14.0764631469
20.6766,135,125,-14.0761947182
20.7144,135,125,-14.0759127655
20.7522,135,125,-14.0756173423
20.79,135,125,-14.0753085058
20.8278,135,125,-14.0749863165
20.8656,135,125,-14.0746508376
20.9034,135,125,-14.0743021334
20.9412,135,125,-14.0739402683
20.979,135,125,-14.0735653093
21.0168,135,125,-14.073177326
21.0546,135,125,-14.0727763976
21.0924,135,125,-14.0723626007
21.1302,135,125,-14.0719360002
21.168,135,125,-14.0714966674
21.2058,135,125,-14.0710446846
21.2436,135,125,-14.0705801479
21.2814,135,125,-14.0701031421
21.3192,135,125,-14.0696137313
21.357,135,125,-14.0691120023
21.3948,135,125,-14.0685980504
21.4326,135,125,-14.0680719534
21.4704,135,125,-14.0675337999
21.5082,135,125,-14.0669836337
21.546,135,125,-14.0664216604
21.5838,135,125,-14.0658480349
21.6216,135,125,-14.0652627003
21.6594,135,125,-14.0646657303
21.6972,135,125,-14.0640572482
21.735,135,125,-14.0634373681
21.7728,135,125,-14.0628061966
21.8106,135,125,-14.0621638484
21.8484,135,125,-14.061510442
21.8862,135,125,-14.0608460943
21.924,135,125,-14.060170923
21.9618,135,125,-14.0594850433
21.9996,135,125,-14.0587885677
22.0374,135,125,-14.0580816151
22.0752,135,125,-14.0573643219
22.113,135,125,-14.0566368223
22.1508,135,125,-14.0558992373
22.1886,135,125,-14.0551516821
22.2264,135,125,-14.0543942848
22.2642,135,125,-14.0536271803
22.302,135,125,-14.0528504367
22.3398,135,125,-14.0520643323
22.3776,135,125,-14.0512690745
22.4154,135,125,-14.0504646006
22.4532,135,125,-14.0496510145
